,prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
8223,76100,7-14,358,Royal Talon Fighter Attack,blah,blahblah,Marvel Super Heroes,LU,48.7878,7.0,4.7,Average,4.7,4.8
8224,76077,7-14,377,Iron Man: Detroit Steel Strikes,blah,blahblah,Marvel Super Heroes,LU,48.7878,10.0,4.8,Easy,4.6,4.3
8225,76082,6-12,185,ATM Heist Battle,blah,blahblah,Marvel Super Heroes,LU,36.5878,9.0,3.9,Easy,3.9,4.2
8226,76099,6-12,229,Rhino Face-Off by the Mine,blah,blahblah,Marvel Super Heroes,LU,36.5878,6.0,4.4,Easy,4.7,5.0
8227,76076,6-12,160,Captain America Jet Pursuit,blah,blahblah,Marvel Super Heroes,LU,36.5878,10.0,3.9,Easy,3.7,3.9
8228,76091,5-12,79,Mighty Micros: Thor vs. Loki,blah,blahblah,Marvel Super Heroes,LU,12.1878,2.0,3.5,Easy,3.5,3.0
8229,76090,5-12,86,Mighty Micros: Star-Lord vs. Nebula,blah,blahblah,Marvel Super Heroes,LU,12.1878,,,nan,,
8230,76089,5-12,89,Mighty Micros: Scarlet Spider vs. Sandman,blah,blahblah,Marvel Super Heroes,LU,12.1878,,,nan,,
8231,31313,10+,601,LEGO® MINDSTORMS® EV3,blah,blahblah,MINDSTORMS®,LU,487.9878,38.0,4.4,Challenging,4.3,3.7
8232,45500,10-21,1,EV3 Intelligent Brick,blah,blahblah,MINDSTORMS®,LU,243.9878,1.0,5.0,Average,4.0,3.0
8233,45501,10-21,1,EV3 Rechargeable DC Battery,blah,blahblah,MINDSTORMS®,LU,134.18779999999998,6.0,4.0,Very Easy,4.3,3.0
8234,45505,10-21,1,EV3 Gyro Sensor,blah,blahblah,MINDSTORMS®,LU,42.6878,,,nan,,
8235,45504,10+,1,EV3 Ultrasonic Sensor,blah,blahblah,MINDSTORMS®,LU,42.6878,4.0,3.0,Challenging,3.5,4.0
8236,45506,10-21,1,EV3 Color Sensor,blah,blahblah,MINDSTORMS®,LU,42.6878,1.0,5.0,Very Easy,5.0,5.0
8237,45509,10-21,1,EV3 Infrared Sensor,blah,blahblah,MINDSTORMS®,LU,42.6878,,,nan,,
8238,45508,10+,1,EV3 Infrared Beacon,blah,blahblah,MINDSTORMS®,LU,42.6878,3.0,5.0,Average,5.0,3.3
8239,45517,8+,1,Transformer 10V DC,blah,blahblah,MINDSTORMS®,LU,36.5878,2.0,5.0,Very Easy,4.0,2.5
8240,45502,10-21,1,EV3 Large Servo Motor,blah,blahblah,MINDSTORMS®,LU,36.5878,2.0,5.0,nan,5.0,5.0
8241,45503,10-21,1,EV3 Medium Servo Motor,blah,blahblah,MINDSTORMS®,LU,32.9278,1.0,5.0,Easy,5.0,
8242,45507,10-21,1,EV3 Touch Sensor,blah,blahblah,MINDSTORMS®,LU,24.3878,,,nan,,
8243,45514,10-21,7,EV3 Cable Pack,blah,blahblah,MINDSTORMS®,LU,21.9478,,,nan,,
