prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
41336,6-12,-0.1515098878683169,Emma's Art Café,blah,blahblah,Friends,GB,41.986000000000004,-0.3881325757876919,0.5646011559178206,Average,-3.776501618789464,-1.4916375536605446
41335,6-12,-0.18399268061393945,Mia's Tree House,blah,blahblah,Friends,GB,34.986,-0.4143334310019652,1.0874067240945555,Challenging,0.9906509527738996,1.2444576552983015
41322,6-12,-0.23692760212532435,Snow Resort Ice Rink,blah,blahblah,Friends,GB,34.986,-0.4143334310019652,1.0874067240945555,Average,-0.04568656278335346,0.43972377031040566
41316,6-12,-0.2345214693293523,Andrea's Speedboat Transporter,blah,blahblah,Friends,GB,34.986,-0.44053428621623847,1.0874067240945555,Easy,0.9906509527738996,1.2444576552983015
41311,6-12,-0.2585827972890727,Heartlake Pizzeria,blah,blahblah,Friends,GB,34.986,-0.28332915493059885,-1.0038155486123859,Easy,-0.8747565752291566,-0.8478504456702274
41319,6-12,-0.3103146524024716,Snow Resort Hot Chocolate Van,blah,blahblah,Friends,GB,27.986,-0.3881325757876919,1.0874067240945555,Easy,-1.0820240783406065,-0.36501011467749017
41334,6-12,-0.33076678116823394,Andrea's Park Performance,blah,blahblah,Friends,GB,27.986,-0.44053428621623847,1.0874067240945555,Average,0.9906509527738996,1.2444576552983015
41332,6-12,-0.3536250427299683,Emma's Art Stand,blah,blahblah,Friends,GB,25.186,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
10749,4-7,-0.4679163505386402,Mia's Organic Food Market,blah,blahblah,Juniors,GB,25.186,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
41315,6-12,-0.3824986362816328,Heartlake Surf Shop,blah,blahblah,Friends,GB,25.186,-0.36193172057341866,1.0874067240945555,Easy,-0.04568656278335346,0.9225641013031428
41333,6-12,-0.33798517955615004,Olivia's Mission Vehicle,blah,blahblah,Friends,GB,20.986,-0.44053428621623847,1.0874067240945555,unknown,0.9906509527738996,1.2444576552983015
41330,6-12,-0.46310408494669614,Stephanie's Soccer Practice,blah,blahblah,Friends,GB,18.186,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
41329,6-12,-0.4101691634353113,Olivia's Deluxe Bedroom,blah,blahblah,Friends,GB,18.186,-0.44053428621623847,1.0874067240945555,Easy,-1.0820240783406065,-3.583945654629073
40171,6+,-0.3067054532085135,LEGO® Friends Buildable Hedgehog Storage,blah,blahblah,Friends,GB,15.386,-0.4143334310019652,1.0874067240945555,Average,0.9906509527738996,1.2444576552983015
10748,4-7,-0.5256635376419693,Emma's Pet Party,blah,blahblah,Juniors,GB,12.585999999999999,-0.4143334310019652,1.0874067240945555,Very Easy,0.9906509527738996,-0.36501011467749017
41328,6-12,-0.49197767849836066,Stephanie's Bedroom,blah,blahblah,Friends,GB,12.585999999999999,-0.4143334310019652,0.21606411046666346,Easy,0.9906509527738996,1.2444576552983015
41327,6-12,-0.5028052760802348,Mia's Bedroom,blah,blahblah,Friends,GB,12.585999999999999,-0.3881325757876919,-3.617843389496062,Average,-3.1546991094551124,-2.4573182156460187
75827,16+,4.9687407019601855,Firehouse Headquarters,blah,blahblah,Ghostbusters™,GB,398.986,2.9393760364250134,0.5646011559178206,Challenging,0.576115946550998,0.7616173243055643
21313,12+,0.551080888555519,Ship in a Bottle,blah,blahblah,Ideas,GB,97.986,1.7079358413541696,-1.1780840713379637,Average,-0.04568656278335346,-0.043116560682331544
21310,12+,1.858814063166323,Old Fishing Store,blah,blahblah,Ideas,GB,195.986,1.6031324204970767,0.7388696786433984,Average,0.9906509527738996,0.7616173243055643
21309,14+,1.7625687513274415,LEGO® NASA Apollo Saturn V,blah,blahblah,Ideas,GB,153.986,9.148978722207778,0.39033263319224126,Challenging,0.7833834496624497,1.0835108783007228
21308,9+,-0.009548052905966505,Adventure Time™,blah,blahblah,Ideas,GB,62.986000000000004,0.1358845284977735,-1.3523525940635421,Easy,-2.532896600120761,-2.4573182156460187
21312,10+,-0.32836064837226187,Women of NASA,blah,blahblah,Ideas,GB,27.986,0.3978930806405062,0.041795587741085646,Easy,0.16158094032809642,0.43972377031040566
21314,10+,-0.32956371477024793,TRON: Legacy,blah,blahblah,Ideas,GB,41.986000000000004,0.3192905149976864,-0.48100998043565085,Easy,-0.25295406589480335,-0.8478504456702274
10757,4-7,-0.5040083424782209,Raptor Rescue Truck,blah,blahblah,Juniors,GB,34.986,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
10760,4-7,-0.42701209300711557,Underminer Bank Heist,blah,blahblah,Juniors,GB,34.986,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
10756,4-7,-0.5052114088762069,Pteranodon Escape,blah,blahblah,Juniors,GB,27.986,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
10759,4-7,-0.49197767849836066,Elastigirl's Rooftop Pursuit,blah,blahblah,Juniors,GB,27.986,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
10745,5-8,-0.2862533244427512,Florida 500 Final Race,blah,blahblah,Juniors,GB,62.986000000000004,-0.44053428621623847,1.0874067240945555,Challenging,0.9906509527738996,1.2444576552983015
10734,4-7,-0.39573236665947903,Demolition Site,blah,blahblah,Juniors,GB,34.986,-0.4143334310019652,1.0874067240945555,unknown,0.9906509527738996,-0.36501011467749017
10754,4-7,-0.45588568655878003,Spider-Man vs. Scorpion Street Showdown,blah,blahblah,Juniors,GB,27.986,-0.44053428621623847,1.0874067240945555,unknown,-1.0820240783406065,-0.36501011467749017
10746,4-7,-0.48596234650843056,Mia's Farm Suitcase,blah,blahblah,Juniors,GB,25.186,-0.4143334310019652,1.0874067240945555,Easy,0.9906509527738996,0.43972377031040566
10740,4-7,-0.4739316825285703,Fire Patrol Suitcase,blah,blahblah,Juniors,GB,25.186,-0.44053428621623847,0.21606411046666346,Easy,-1.0820240783406065,0.11783021631524704
10755,4-7,-0.44866728817086393,Zane's Ninja Boat Pursuit,blah,blahblah,Juniors,GB,25.186,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
